model,Re,Lo,Lo Diff,Ho,Ho Diff,delta Cp,deltaCp CFD,diff deltaCp
Physics,300,0.20000091067942005,-0.13456073686494208,0.4999995266444459,22.07668643118883,11.570246000000001,12.9878,3.532168963785498
Physics,400,0.20000014960829515,-22.26992722768532,0.4999999690664654,24.343494983575347,10.270384799999999,11.7635,4.064932767162069
Physics,500,0.2000077105126767,-32.04269173363468,0.4999998971394344,25.75116047393198,9.499434,10.9882,4.551941996993288
Physics,600,0.20000151383509915,-37.11377733415474,0.4999999958070871,27.840457962336178,8.9870814,10.4561,5.162846973227781
Physics,700,0.20000022001106163,-39.634970286746785,0.49999985027610017,28.440217746333364,8.6118414,10.059,5.698514924832045
Physics,800,0.20000381688097044,-41.69841046082588,0.49999977874239077,28.975839356081842,8.3171406,9.75505,6.18550529019899
Physics,900,0.20000225973434144,-44.008757162583706,0.49999999998102207,29.716584176048244,8.075190800000001,9.51481,6.6980580902068025
Physics,1000,0.2000006636799645,-48.015623031310554,0.4999998960013584,30.49495166507964,7.8713756,9.3161,7.156125811627642
Data,300,0.21618312417734128,7.945621766954162,0.40779976652651206,-0.4342172900294572,12.5279408,12.5386,-0.048626113019841
Data,400,0.4951742885526263,92.44952346064842,0.3532288131996938,-12.156584241084516,11.264779200000003,11.319,0.13269639065817912
Data,500,0.2026269500769937,-31.152743690934265,0.40898301432289097,2.860198490976961,10.5018934,10.5166,0.06470151667967172
Data,600,0.2000322391037225,-37.104116426859264,0.410609043251263,4.984897145821393,9.9046312,9.95365,0.10942624640819634
Data,700,0.24494684700688363,-26.068962839538766,0.4044645980487547,3.89907320047936,9.509140799999999,9.52285,0.06472838770622452
Data,800,0.2757871360616283,-19.60739221082708,0.40020565798920915,3.233766990935496,9.1826534,9.19144,0.0505072495319393
Data,900,0.29312437756283544,-17.938936152584265,0.3987115211211621,3.438993186873036,8.9062544,8.92194,0.04967754451634221
Data,1000,0.3136328226824283,-18.48023609478263,0.3964043437125146,3.457552864074333,8.7040162,8.69535,0.016103152192044928
"Data+Physics, $W_d=0.1$",300,0.2618475575173969,30.747011414206685,0.39256070716268776,-4.154888555357977,12.534118399999999,12.5393,-0.043046067263464646
"Data+Physics, $W_d=0.1$",400,0.3264856092292301,26.888655904530328,0.3888910381431737,-3.2878523156766013,11.3020396,11.301,-0.026539278131635823
"Data+Physics, $W_d=0.1$",500,0.30156223311384067,2.4628379809982155,0.3981311179492739,0.13092080485647048,10.5108596,10.5064,-0.03235075833984431
"Data+Physics, $W_d=0.1$",600,0.2931736102995631,-7.817793058061572,0.4020113869488295,2.786640489175458,9.936342,9.94783,0.050891250627343156
"Data+Physics, $W_d=0.1$",700,0.3372777291791462,1.798788733290754,0.3946737209230902,1.383987667446657,9.513215200000001,9.51909,0.025218852353073765
"Data+Physics, $W_d=0.1$",800,0.38900047078224825,13.394564822677548,0.3833936598727358,-1.1029180647636672,9.1824504,9.18542,-0.015021552662507846
"Data+Physics, $W_d=0.1$",900,0.40323570401899606,12.887065648325892,0.3811458302199434,-1.1181296580966882,8.912623,8.91511,-0.02691334240163157
